170,182,2025-08-28 12:35:39.057444
275,68,2025-08-28 12:35:39.057453
315,275,2025-08-28 12:35:39.057456
49,379,2025-08-28 12:35:39.057458
265,36,2025-08-28 12:35:39.057459
152,220,2025-08-28 12:35:39.057461
254,108,2025-08-28 12:35:39.057463
564,436,2025-08-28 12:35:39.057464
3,149,2025-08-28 12:35:39.057466
66,258,2025-08-28 12:35:39.057467
452,327,2025-08-28 12:35:39.057469
290,193,2025-08-28 12:35:39.057470
200,157,2025-08-28 12:35:39.057471
397,456,2025-08-28 12:35:39.057473
474,195,2025-08-28 12:35:39.057474
239,443,2025-08-28 12:35:39.057476
419,280,2025-08-28 12:35:39.057477
273,87,2025-08-28 12:35:39.057479
470,354,2025-08-28 12:35:39.057480
280,96,2025-08-28 12:35:39.057482
174,200,2025-08-28 12:35:39.057483
257,125,2025-08-28 12:35:39.057485
430,370,2025-08-28 12:35:39.057486
529,75,2025-08-28 12:35:39.057488
596,106,2025-08-28 12:35:39.057489
397,440,2025-08-28 12:35:39.057490
243,418,2025-08-28 12:35:39.057492
11,113,2025-08-28 12:35:39.057493
223,206,2025-08-28 12:35:39.057495
560,330,2025-08-28 12:35:39.057496
242,28,2025-08-28 12:35:39.057497
510,221,2025-08-28 12:35:39.057499
163,215,2025-08-28 12:35:39.057500
123,235,2025-08-28 12:35:39.057501
403,247,2025-08-28 12:35:39.057503
115,271,2025-08-28 12:35:39.057504
550,302,2025-08-28 12:35:39.057506
267,451,2025-08-28 12:35:39.057507
104,117,2025-08-28 12:35:39.057508
14,295,2025-08-28 12:35:39.057510
629,443,2025-08-28 12:35:39.057511
118,137,2025-08-28 12:35:39.057513
429,164,2025-08-28 12:35:39.057514
108,4,2025-08-28 12:35:39.057515
101,427,2025-08-28 12:35:39.057517
637,297,2025-08-28 12:35:39.057518
489,206,2025-08-28 12:35:39.057519
223,242,2025-08-28 12:35:39.057521
111,436,2025-08-28 12:35:39.057522
357,71,2025-08-28 12:35:39.057524
634,358,2025-08-28 12:35:39.057525
42,74,2025-08-28 12:35:39.057526
390,39,2025-08-28 12:35:39.057528
424,420,2025-08-28 12:35:39.057529
67,321,2025-08-28 12:35:39.057530
457,78,2025-08-28 12:35:39.057532
180,382,2025-08-28 12:35:39.057533
154,249,2025-08-28 12:35:39.057535
624,445,2025-08-28 12:35:39.057536
577,197,2025-08-28 12:35:39.057537
286,142,2025-08-28 12:35:39.057539
638,196,2025-08-28 12:35:39.057540
231,87,2025-08-28 12:35:39.057541
232,62,2025-08-28 12:35:39.057543
201,327,2025-08-28 12:35:39.057544
478,344,2025-08-28 12:35:39.057546
273,199,2025-08-28 12:35:39.057547
576,5,2025-08-28 12:35:39.057548
437,331,2025-08-28 12:35:39.057549
