200,459
307,319
163,321
480,400
260,226
60,126
321,333
626,55
4,415
538,85
192,416
133,425
71,181
623,457
208,23
496,390
494,101
60,157
38,405
192,430
339,348
559,325
10,362
470,126
390,59
321,257
506,174
502,366
535,113
442,232
633,371
244,55
388,195
629,291
349,227
528,427
621,33
345,23
521,392
225,401
131,65
57,446
436,244
107,369
566,116
81,276
126,428
115,76
185,445
180,273
528,285
523,87
547,218
270,144
143,257
123,53
488,375
356,187
93,316
273,441
304,90
462,148
293,311
301,199
16,393
452,101
613,185
113,165
452,129
397,144
367,152
427,183
353,146
531,356
372,70
522,169
121,149
121,436
509,338
101,181
272,132
507,209
7,310
602,479
53,104
196,198
432,361
420,432
631,137
349,448
248,359
604,42
14,41
244,347
258,104
525,15
361,94
24,183
10,288
106,336
634,284
223,212
517,457
397,46
459,33
107,440
623,294
33,86
614,409
295,478
352,346
107,322
434,320
157,288
142,213
539,113
260,106
537,74
396,365
303,130
221,450
630,26
188,68
218,472
514,231
115,244
486,467
437,334
546,384
209,471
191,186
225,39
591,97
146,284
356,182
34,51
71,376
211,465
617,68
449,305
85,251
68,157
483,134
388,404
111,266
541,371
417,125
22,185
183,60
629,182
549,41
269,211
604,469
387,226
477,42
558,300
312,254
470,397
527,150
247,80
93,25
427,473
228,33
170,54
483,339
138,382
415,83
368,289
430,266
90,445
4,463
91,323
28,103
10,479
508,209
637,444
577,395
150,182
580,170
507,463
278,449
384,73
199,40
175,248
597,261
362,190
235,446
556,73
9,171
137,255
71,146
60,311
58,180
128,339
571,94
356,152
43,39
326,25
405,11
238,101
124,238
226,352
478,435
137,336
387,44
24,18
25,17
69,436
248,364
573,5
93,410
80,343
381,224
91,444
417,109
526,389
603,464
583,92
500,341
158,171
380,12
493,93
319,453
495,272
305,422
548,0
278,451
40,266
18,296
541,188
143,127
306,316
158,333
637,302
511,271
225,309
604,301
474,138
64,364
156,320
113,58
175,6
62,219
470,333
365,329
456,286
163,191
434,147
171,253
45,457
33,282
216,436
398,182
279,34
502,289
588,302
163,276
613,4
32,231
114,188
424,193
222,315
127,39
78,289
14,121
193,199
160,3
103,247
625,334
613,238
586,52
127,357
248,30
77,289
181,319
127,383
505,87
337,38
456,78
454,438
373,99
79,258
376,192
581,66
600,311
205,372
250,174
270,249
173,258
396,252
314,162
181,351
570,59
336,333
230,348
152,385
26,137
549,266
560,79
544,21
392,186
159,37
479,333
302,99
264,96
314,2
135,276
295,220
90,235
213,476
154,389
243,386
260,421
318,83
77,99
250,157
321,108
183,286
248,348
71,274
103,388
533,190
149,305
358,473
447,98
527,452
288,36
596,121
293,241
8,472
252,290
566,253
289,381
578,400
206,471
448,344
219,395
312,351
3,128
16,386
630,157
525,191
81,204
123,57
173,104
125,414
173,160
444,60
482,329
445,80
89,113
246,322
618,470
28,381
405,299
416,335
558,404
180,283
362,53
539,28
360,296
86,417
545,99
140,112
594,266
464,304
264,19
446,155
207,268
388,83
447,396
95,82
621,359
404,42
83,426
508,307
61,86
392,383
488,353
554,207
104,198
596,121
77,161
50,181
189,11
334,479
193,440
172,393
503,353
198,293
550,326
618,78
442,150
325,235
364,431
247,393
224,478
289,77
176,182
407,32
161,332
335,81
228,298
472,400
475,329
470,172
563,181
117,0
263,97
361,154
483,447
0,84
479,426
473,29
181,118
24,62
480,405
53,54
257,304
104,430
326,369
89,294
162,116
138,408
167,11
469,375
279,380
634,456
363,390
285,266
476,34
591,18
601,293
192,446
541,226
571,173
109,314
319,142
115,171
388,8
380,183
331,288
463,10
547,55
415,454
548,300
68,158
549,422
262,309
234,471
493,100
255,318
254,350
21,247
35,444
506,469
147,396
94,44
345,260
8,204
264,140
465,34
447,397
23,154
489,93
568,438
164,132
526,136
47,289
20,425
603,250
234,238
512,202
384,198
451,105
360,414
121,443
607,434
85,247
593,87
560,296
231,474
495,73
558,447
330,128
229,393
610,197
492,94
69,239
68,81
223,86
605,412
22,386
186,304
143,52
369,122
156,385
15,308
54,388
508,154
91,435
316,70
256,200
496,170
543,127
8,412
298,294
52,202
637,68
108,290
30,40
250,90
142,66
97,153
509,444
212,419
382,420
129,104
91,365
258,428
169,323
11,34
70,366
518,133
72,139
113,249
247,71
514,392
146,357
185,430
344,263
471,3
481,209
481,23
569,104
282,466
428,344
414,384
335,390
554,288
518,63
423,66
6,374
219,9
569,451
120,276
310,429
579,161
589,49
221,50
544,174
48,146
631,267
473,19
624,68
207,362
76,453
3,431
301,260
57,247
84,274
635,471
192,226
74,338
443,350
453,165
66,220
73,119
327,390
409,241
168,201
381,169
41,80
172,110
464,171
152,341
520,295
489,37
485,68
412,427
307,245
312,130
196,188
507,450
306,293
231,112
630,139
459,356
265,162
214,36
488,340
128,159
488,279
302,176
426,187
33,111
45,465
152,13
130,114
191,133
346,92
157,267
165,334
393,27
582,255
122,12
550,69
46,267
228,102
156,457
112,262
337,92
617,241
257,451
312,426
564,446
563,110
478,156
327,96
6,47
126,350
259,306
537,353
634,108
228,409
278,338
626,383
563,288
264,408
342,127
604,341
236,436
80,328
563,380
491,404
168,442
94,426
634,139
523,155
49,143
475,248
331,398
523,405
211,157
138,9
133,173
444,190
146,422
548,367
474,40
436,117
479,454
78,229
578,375
440,188
17,403
21,313
123,285
169,139
338,292
539,260
456,348
467,33
115,109
514,445
146,368
613,213
105,152
154,337
114,197
368,188
232,21
484,218
623,400
308,202
340,316
437,414
136,88
275,140
149,421
527,44
189,384
326,38
45,39
450,175
139,30
175,191
617,287
139,377
80,134
132,215
597,145
257,36
409,359
364,40
398,342
312,269
150,401
419,165
197,334
311,48
512,44
436,140
202,44
406,101
167,260
400,194
82,150
3,310
280,132
318,432
433,443
255,57
445,448
533,221
274,172
522,330
487,325
161,45
133,340
133,403
531,299
323,381
478,116
340,90
394,221
32,314
380,203
114,254
112,267
469,337
173,115
264,382
454,343
157,405
41,90
244,458
328,306
233,409
196,369
439,243
138,306
498,242
396,157
566,166
389,31
480,225
132,246
118,362
625,175
86,17
611,175
75,144
118,401
432,369
555,298
559,190
535,411
51,107
411,347
447,134
428,452
89,455
182,308
561,36
94,418
514,457
28,229
221,339
396,472
134,77
418,204
542,467
362,65
79,125
608,151
473,459
412,232
479,360
78,238
201,115
457,124
438,361
225,156
413,155
185,324
461,121
376,216
242,476
75,174
621,399
544,411
296,397
464,265
322,197
489,6
336,364
248,157
495,53
397,273
246,235
271,456
527,101
303,77
462,441
378,469
76,254
419,188
604,459
262,119
315,445
445,209
481,252
477,156
230,274
266,419
63,257
582,302
169,164
485,210
620,334
224,203
102,248
424,88
40,59
23,11
457,134
206,457
357,340
503,174
471,290
464,355
571,219
60,386
604,338
35,187
492,431
492,53
77,114
494,383
526,354
120,279
382,44
254,131
339,243
207,193
211,400
114,457
363,382
109,31
